timestamp,type,btc_entry,eth_entry,btc_exit,eth_exit
2023-01-01 00:00:00,long,16522.0,1193.35,,
2023-01-13 23:00:00,exit,,,19923.1,1450.41
2023-03-10 04:00:00,long,19867.3,1414.8,,
2023-03-10 05:00:00,exit,,,19985.0,1419.72
2023-03-10 09:00:00,long,19844.6,1396.23,,
2023-03-10 12:00:00,exit,,,19926.3,1395.49
2023-03-10 14:00:00,long,19808.6,1400.63,,
2023-03-10 15:00:00,exit,,,20000.4,1416.21
2023-03-10 18:00:00,long,19840.0,1403.29,,
2023-03-10 19:00:00,exit,,,20011.8,1422.89
2023-11-09 14:00:00,short,37920.0,1990.72,,
2023-11-09 15:00:00,exit,,,37135.6,2038.07
2023-11-15 22:00:00,short,37731.0,2054.17,,
2023-11-16 01:00:00,exit,,,37460.7,2063.41
2023-11-24 11:00:00,short,37765.8,2098.0,,
2023-11-25 11:00:00,exit,,,37670.5,2071.4
2023-11-25 12:00:00,short,37738.8,2078.41,,
2023-11-26 11:00:00,exit,,,37695.0,2085.19
2023-11-28 16:00:00,short,37886.9,2057.35,,
2023-11-30 15:00:00,exit,,,37607.7,2032.84
2023-11-30 16:00:00,short,37655.3,2035.05,,
